sku,product_name,price,local_image_filename
22350,WEICON FAST METAL MINUTE ADHESIVE 24ML,MVR 145.00,scraped_images_veligaa\22350.jpg
22352,WEICON PIPE REPAIR KIT 5/35,MVR 410.00,scraped_images_veligaa\22352.jpg
22353,WEICON PIPE REPAIR KIT 10/35,MVR 765.00,scraped_images_veligaa\22353.jpg
22354,WEICON EPOXY EASY MIX S50 ADHESIVE,MVR 435.00,scraped_images_veligaa\22354.jpg
22355,WEICON EASY MIX RK-7100 ACRYLIC ADHESIVE 50ML,MVR 670.00,scraped_images_veligaa\22355.jpg
22356,WEICON EPOXY RESIN 500G,MVR 765.00,scraped_images_veligaa\22356.jpg
22357,WEICON EPOXY SF RESIN 500G,MVR 940.00,scraped_images_veligaa\22357.jpg
22358,WEICON EPOXY CERAMIC BL RESIN 500G,MVR 1605.00,scraped_images_veligaa\22358.jpg
22359,WEICON EPOXY WR RESIN 500G,MVR 765.00,scraped_images_veligaa\22359.jpg
22360,WEICON EPOXY HB300 RESIN 200G DARK GREY,MVR 885.00,scraped_images_veligaa\22360.jpg
22361,WEICON EPOXY UW RESIN 500G WHITE,MVR 1425.00,scraped_images_veligaa\22361.jpg
22362,WEICON EPOXY WR2 RESIN 500G ANTHRACITE [10350005],MVR 940.00,scraped_images_veligaa\22362.jpg
22364,WEICON STAINLESS STEEL SPRAY BRIGHT GRADE 400ML,MVR 190.00,scraped_images_veligaa\22364.jpg
22381,WEICON ADHESIVE SPRAY EXTRA STRONG SPRAY 500ML,MVR 330.00,scraped_images_veligaa\22381.jpg
22383,WEICON SILICONE SEALANT A 310ML TRANSPARENT,MVR 210.00,scraped_images_veligaa\22383.jpg
22384,WEICON SILICONE SEALANT A 310ML WHITE,MVR 210.00,scraped_images_veligaa\22384.jpg
22387,WEICON FLEX 310 M CLASSIC POLYMER 310ML WHITE,MVR 260.00,scraped_images_veligaa\22387.jpg
22388,WEICON FLEX 310 M CLASSIC POLYMER 310ML BLACK,MVR 260.00,scraped_images_veligaa\22388.jpg
22389,WEICON FLEX 310 M CRYSTAL POLYMER 310ML TRANSPARENT,MVR 295.00,scraped_images_veligaa\22389.jpg
22390,WEICON FLEX 310 M CLASSIC POLYMER 310ML GREY,MVR 260.00,scraped_images_veligaa\22390.jpg
22391,WEICON FAST BOND ASSEMBLY ADHESIVE 310ML BEIGE,MVR 245.00,scraped_images_veligaa\22391.jpg
22393,WEICON FLEX 310 M SUPER TRACK MS POLYMER 400ML GREY,MVR 905.00,scraped_images_veligaa\22393.jpg
22394,WEICON FLEX 310 M SUPER TRACK MS POLYMER 290ML WHITE,MVR 245.00,scraped_images_veligaa\22394.jpg
22395,WEICON AQUA FLEX MS POLYMER 310ML WHITE,MVR 375.00,scraped_images_veligaa\22395.jpg
22396,WEICON MOUNTING TAPE 3M GREY,MVR 355.00,scraped_images_veligaa\22396.jpg
22397,WEICON MOUNTING TAPE 3M TRANSPARENT,MVR 320.00,scraped_images_veligaa\22397.jpg
22398,WEICON CONTACT ADHESIVE GMK 2510 690G,MVR 1545.00,scraped_images_veligaa\22398.jpg
22400,WEICON CONTACT CYANOACRYLATE VA 1401 ADHESIVE 20G,MVR 235.00,scraped_images_veligaa\22400.jpg
22401,WEICON CONTACT CYANOACRYLATE VA 8406 ADHESIVE 20G,MVR 235.00,scraped_images_veligaa\22401.jpg
22404,WEICON PLAST O SEAL 90G,MVR 190.00,scraped_images_veligaa\22404.jpg
22405,WEICON THREAD LOCKER AN 302-22 PURPLE 20ML,MVR 200.00,scraped_images_veligaa\22405.jpg
22406,WEICON THREAD LOCKER AN 302-43 BLUE 20ML,MVR 200.00,scraped_images_veligaa\22406.jpg
22407,WEICON LOCKER AN 302-70 THREAD & STUD 20ML GREEN,MVR 200.00,scraped_images_veligaa\22407.jpg
22408,WEICON LOCKER AN 306-41 RETAINING CYLINDRICAL ASSEMBLIES 20ML YELLOW,MVR 200.00,scraped_images_veligaa\22408.jpg
22409,WEICON LOCKER AN 306-38 RETAINING CYLINDRICAL ASSEMBLIES 20ML GREEN,MVR 200.00,scraped_images_veligaa\22409.jpg
22410,WEICON LOCKER AN 305-42 HYDRAULIC & PNEUMATIC SEALING 20ML BROWN,MVR 200.00,scraped_images_veligaa\22410.jpg
22411,WEICON LOCKER AN 302-72 THREAD & STUD 20ML RED,MVR 210.00,scraped_images_veligaa\22411.jpg
22412,WEICON LOCKER AN 305-67 PIPE & FLANGE SEALING 50ML WHITE,MVR 260.00,scraped_images_veligaa\22412.jpg
22413,WEICON LOCKER AN 305-72 PIPE & FLANGE SEALING 50ML WHITE,MVR 260.00,scraped_images_veligaa\22413.jpg
22415,WEICON WIRE STRIPPER NO.5,MVR 645.00,scraped_images_veligaa\22415.jpg
22416,WEICON MULTI CABLE STRIPPER NO.4-28,MVR 460.00,scraped_images_veligaa\22416.jpg
22417,WEICON AQUA FLEX MS POLYMER 310ML BLACK,MVR 340.00,scraped_images_veligaa\22417.jpg
22418,WEICON SILICONE SEALANT HT300 310ML RED,MVR 270.00,scraped_images_veligaa\22418.jpg
22419,WEICON SILICONE SEALANT HT300 85ML RED,MVR 175.00,scraped_images_veligaa\22419.jpg
22420,WEICON SILICONE BLACK SEAL SPECIAL 310ML BLACK,MVR 270.00,scraped_images_veligaa\22420.jpg
22421,WEICON SILICONE BLACK SEAL SPECIAL 85ML BLACK,MVR 165.00,scraped_images_veligaa\22421.jpg
22934,SIKAFLEX 717 WS WEATHER PROOF SEALANT GREY 300ML,MVR 165.00,scraped_images_veligaa\22934.jpg
22881,SIKAFLEX 127 MUTIPURPOSE SEALANT WHITE 300ML,MVR 175.00,scraped_images_veligaa\22881.jpg
22954,CANTECH MASKING TAPE,MVR 10.00,scraped_images_veligaa\22954.jpg
02739,CANTECH MASKING TAPE BIG 40 YARDS,MVR 30.00,scraped_images_veligaa\02739.jpg
23095,HOMEY L322 Zero Nail Adhesive,MVR 75.00,scraped_images_veligaa\23095.jpg
23096,HOMEY Bond 577 Zero Nail Construction Adhesive,MVR 70.00,scraped_images_veligaa\23096.jpg
23087,HOMEY SILICONE SEALANT GENERAL PURPOSE 650,MVR 50.00,scraped_images_veligaa\23087.jpg
23090,HOMEY FAST CURE SEALANT 660,MVR 60.00,scraped_images_veligaa\23090.jpg
23092,HOMEY SILICONE SEALANT PREMIUM 680 AS 300ML,MVR 65.00,scraped_images_veligaa\23092.jpg
23094,HOMEY 560 ACRYLIC GAP SEALANT 280ML,MVR 30.00,scraped_images_veligaa\23094.jpg
13805,APAC ALUMINIUM FOIL TAPE,MVR 60.00,scraped_images_veligaa\13805.jpg
23899,HOMEY SUPER GLUE 20G 401,MVR 15.00,scraped_images_veligaa\23899.jpg
23900,HOMEY RTV SEALANT HI-TEMP H400,MVR 35.00,scraped_images_veligaa\23900.jpg
21647,APAC BINDING DUCT TAPE WHITE,MVR 100.00,scraped_images_veligaa\21647.jpg
23997,THREAD SEAL TAPE 15M,MVR 15.00,scraped_images_veligaa\23997.jpg
10309,METABO SANDING BELTS 19 X 457 MM GREEN,MVR 30.00,scraped_images_veligaa\10309.jpg
00632,"SAND PAPER ROLL BOSS 4"" INCH",MVR 5.00,scraped_images_veligaa\00632.jpg
09244,CLOTH TYPE SAND PAPER ROLL RESIN BOSS 4'' INCH,MVR 5.00,scraped_images_veligaa\09244.jpg
01031,SAND PAPER ROUND VELCRO BOSS 6'',MVR 10.00,scraped_images_veligaa\01031.jpg
01006,SAND PAPER SQUARE GSS VELCRO,MVR 970.00,scraped_images_veligaa\01006.jpg
07454,RHODIUS GRINDING WHEEL DISC ALPHALINE KSM,MVR 30.00,scraped_images_veligaa\07454.jpg
07450,RHODIUS GRINDING WHEEL DISC PROLINE RS2,MVR 35.00,scraped_images_veligaa\07450.jpg
07456,RHODIUS FLAP DISC GRIT PROLINE LSZ F1,MVR 80.00,scraped_images_veligaa\07456.jpg
07461,RHODIUS FLAP DISC GRIT PROLINE LSA F1,MVR 80.00,scraped_images_veligaa\07461.jpg
15360,RHODIUS FLAP DISC GRITF ANGLED LSZ F VISION,MVR 120.00,scraped_images_veligaa\15360.jpg
15359,RHODIUS FLAP DISC COMBI NON-WOVEN VSK VISION,MVR 285.00,scraped_images_veligaa\15359.jpg
07500,RHODIUS DIAMOND CUTTING DISC TOPLINE LD4,MVR 610.00,scraped_images_veligaa\07500.jpg
07499,RHODIUS DIAMOND CUTTING DISC TOPLINE DG210 ALLCUT,MVR 555.00,scraped_images_veligaa\07499.jpg
07503,RHODIUS DIAMOND CUTTING DISC TOPLINE DG10,MVR 305.00,scraped_images_veligaa\07503.jpg
07497,RHODIUS DIAMOND CUTTING DISC PROLINE LD40,MVR 260.00,scraped_images_veligaa\07497.jpg
07504,RHODIUS DIAMOND CUTTING DISC PROLINE DG45,MVR 305.00,scraped_images_veligaa\07504.jpg
07501,RHODIUS DIAMOND CUTTING DISC PROLINE DG35,MVR 305.00,scraped_images_veligaa\07501.jpg
07498,RHODIUS DIAMOND CUTTING DISC ALPHALINE LD50,MVR 210.00,scraped_images_veligaa\07498.jpg
07502,RHODIUS DIAMOND CUTTING DISC ALPHALINE DG55,MVR 235.00,scraped_images_veligaa\07502.jpg
07505,RHODIUS DIAMOND CUTTING DISC ALPHALINE DG50,MVR 155.00,scraped_images_veligaa\07505.jpg
07435,RHODIUS CUTTING WHEEL DISC TOPLINE ST38,MVR 225.00,scraped_images_veligaa\07435.jpg
07437,RHODIUS CUTTING WHEEL DISC ALPHALINE ST34,MVR 100.00,scraped_images_veligaa\07437.jpg
07433,RHODIUS CUTTING WHEEL DISC PROLINE FT40,MVR 175.00,scraped_images_veligaa\07433.jpg
07429,RHODIUS CUTTING WHEEL DISC TOPLINE XT66,MVR 30.00,scraped_images_veligaa\07429.jpg
07420,RHODIUS CUTTING WHEEL DISC PROLINE XTK38,MVR 30.00,scraped_images_veligaa\07420.jpg
07415,RHODIUS CUTTING WHEEL DISC ALPHALINE XTK70,MVR 220.00,scraped_images_veligaa\07415.jpg
07421,RHODIUS CUTTING WHEEL DISC ALPHALINE XT70,MVR 20.00,scraped_images_veligaa\07421.jpg
07432,RHODIUS CUTTING WHEEL DISC PROLINE FT33,MVR 20.00,scraped_images_veligaa\07432.jpg
07430,RHODIUS CUTTING WHEEL DISC TOPLINE FT67,MVR 25.00,scraped_images_veligaa\07430.jpg
